@relation names

@attribute Names {Amira,Kawkab,Faheem,Faisal,Adam,Omar,Layla,Dawud,Bashir,Afeefah,Asim,Ismail,Hussein,Bushra,Nida,Iman,Hala,Naeema,Fareed,Shakir,Ghaliya,BadrUddin,Aneesa,Sharifa,Aakifa,Ubaid,Husna,Arif,Safa,Faris,Aamir,Farida,Shahid,Huda,Mujtaba,Eisa,Nadia,Afra,Sharif,Aziza,Umair,Ahmad,Irfan,Shuaib,Amal,Murad,Furqan,Abida,Muneeb,Khadijah,Abeer,Areej,Habib,Urwa,Aida,Afia,Adeeb,Noor,Iffat,Nafisa,Farhan,Aatika,Burhan,Maleeha,Munira,Zeenat,Maymouna,Saadiya,Inaya,Firdous,Khalida,Luqman,Almas,Qamar,Uqbah,Falak,AbdulAlim,Arshad,Azra,Amjad,Khawlah,Akram,Hadiyya,Asiyah,Hashim,Jamila,Ajmal,Anas,Adeela,Aqeel,Raniya,Munir,Maha,Imran,Asma,Hamza,Bilal,Anees,Amina}
@attribute Length numeric
@attribute First {A,K,F,O,L,D,B,I,H,N,S,G,U,M,E,Z,Q,J,R}
@attribute Last {a,b,m,l,r,d,h,n,f,s,j,t,k}
@attribute Sum_ASCII numeric
@attribute Vowels numeric
@attribute Gender numeric
@attribute Consonants numeric
@attribute Class {-,+}
@attribute Class10 {0, 1}

@data
Amira,5,A,a,490,3,1,2,-,0
Kawkab,6,K,b,593,2,1,4,+,1
Faheem,6,F,m,582,3,0,3,+,1
Faisal,6,F,l,592,3,0,3,+,1
Adam,4,A,m,371,2,0,2,-,0
Omar,4,O,r,399,2,0,2,-,0
Layla,5,L,a,499,2,1,3,+,1
Dawud,5,D,d,501,2,0,3,+,1
Bashir,6,B,r,601,2,0,4,+,1
Afeefah,7,A,h,672,4,1,3,-,0
Asim,4,A,m,394,2,0,2,-,0
Ismail,6,I,l,607,3,0,3,-,0
Hussein,7,H,n,735,3,0,4,+,1
Bushra,6,B,a,613,2,1,4,+,1
Nida,4,N,a,380,2,1,2,+,1
Iman,4,I,n,389,2,1,2,-,0
Hala,4,H,a,374,2,1,2,+,1
Naeema,6,N,a,583,4,1,2,+,1
Fareed,6,F,d,583,3,0,3,+,1
Shakir,6,S,r,610,2,0,4,-,0
Ghaliya,7,G,a,703,3,1,4,-,0
BadrUddin,9,B,n,877,3,0,6,+,1
Aneesa,6,A,a,589,4,1,2,-,0
Sharifa,7,S,a,702,3,1,4,-,0
Aakifa,6,A,a,573,4,1,2,+,1
Ubaid,5,U,d,485,3,0,2,-,0
Husna,5,H,a,511,2,1,3,+,1
Arif,4,A,f,386,2,0,2,-,0
Safa,4,S,a,379,2,1,2,+,1
